meta_edible_portion_percent,meta_id,meta_name_en,meta_name_vi,nutrition_per_100g_amino_acids_alanine_mg,nutrition_per_100g_amino_acids_arginine_mg,nutrition_per_100g_amino_acids_aspartic_acid_mg,nutrition_per_100g_amino_acids_cystine_mg,nutrition_per_100g_amino_acids_glutamic_acid_mg,nutrition_per_100g_amino_acids_glycine_mg,nutrition_per_100g_amino_acids_histidine_mg,nutrition_per_100g_amino_acids_isoleucine_mg,nutrition_per_100g_amino_acids_leucine_mg,nutrition_per_100g_amino_acids_lysine_mg,nutrition_per_100g_amino_acids_methionine_mg,nutrition_per_100g_amino_acids_phenylalanine_mg,nutrition_per_100g_amino_acids_proline_mg,nutrition_per_100g_amino_acids_serine_mg,nutrition_per_100g_amino_acids_threonine_mg,nutrition_per_100g_amino_acids_tryptophan_mg,nutrition_per_100g_amino_acids_tyrosine_mg,nutrition_per_100g_amino_acids_valine_mg,nutrition_per_100g_carotenoids_alpha_carotene_mcg,nutrition_per_100g_carotenoids_beta_carotene_mcg,nutrition_per_100g_carotenoids_beta_cryptoxanthin_mcg,nutrition_per_100g_carotenoids_lutein_zeaxanthin_mcg,nutrition_per_100g_carotenoids_lycopene_mg,nutrition_per_100g_energy_kcal,nutrition_per_100g_energy_kj,nutrition_per_100g_isoflavones_daidzein_mg,nutrition_per_100g_isoflavones_genistein_mg,nutrition_per_100g_isoflavones_glycitein_mg,nutrition_per_100g_isoflavones_total_mg,nutrition_per_100g_lipids_total_monounsaturated_fat_g,nutrition_per_100g_lipids_total_polyunsaturated_fat_g,nutrition_per_100g_lipids_total_saturated_fat_g,nutrition_per_100g_lipids_total_trans_fat_g,nutrition_per_100g_macros_ash_g,nutrition_per_100g_macros_carbohydrate_g,nutrition_per_100g_macros_fat_g,nutrition_per_100g_macros_fiber_g,nutrition_per_100g_macros_protein_g,nutrition_per_100g_macros_water_g,nutrition_per_100g_minerals_calcium_mg,nutrition_per_100g_minerals_copper_mcg,nutrition_per_100g_minerals_iron_mg,nutrition_per_100g_minerals_magnesium_mg,nutrition_per_100g_minerals_manganese_mg,nutrition_per_100g_minerals_phosphorus_mg,nutrition_per_100g_minerals_potassium_mg,nutrition_per_100g_minerals_selenium_mcg,nutrition_per_100g_minerals_sodium_mg,nutrition_per_100g_minerals_zinc_mg,nutrition_per_100g_purines_purines_mg,nutrition_per_100g_sugars_fructose_g,nutrition_per_100g_sugars_galactose_g,nutrition_per_100g_sugars_glucose_g,nutrition_per_100g_sugars_lactose_g,nutrition_per_100g_sugars_maltose_g,nutrition_per_100g_sugars_sucrose_g,nutrition_per_100g_sugars_total_sugar_g,nutrition_per_100g_vitamins_folate_mcg,nutrition_per_100g_vitamins_vitamin_a_mcg,nutrition_per_100g_vitamins_vitamin_b12_mcg,nutrition_per_100g_vitamins_vitamin_b1_mg,nutrition_per_100g_vitamins_vitamin_b2_mg,nutrition_per_100g_vitamins_vitamin_b5_mg,nutrition_per_100g_vitamins_vitamin_b6_mg,nutrition_per_100g_vitamins_vitamin_b9_mcg,nutrition_per_100g_vitamins_vitamin_c_mg,nutrition_per_100g_vitamins_vitamin_d_mcg,nutrition_per_100g_vitamins_vitamin_e_mg,nutrition_per_100g_vitamins_vitamin_k_mcg,nutrition_per_100g_vitamins_vitamin_pp_mg
100.0,,"Soybeans flour, defatted",Bột Đậu Tương Đã Loại Béo (Đậu Nành),2215,3647,5911,757,9106,2174,1268,2281,3828,3129,634,2453,2750,2725,2042,683,1778,2346,,35,,,,321,1343,57.47,71.21,7.55,131.19,0.21,0.53,0.14,,4.5,29.0,1.0,2.5,49.0,14.0,247,4067,7.6,290,3.02,602,2384,1.7,20,2.46,,,,,,,,,305,0,0,0.7,0.3,1.995,0.574,0,0,,0.2,4.1,2.0
100.0,,Roasted soybeans flour,Bột Đậu Tương Rang Chín,1639,2700,4375,561,6740,1609,938,1688,2834,2316,469,1816,2035,2017,1511,506,1316,1737,,,,,,,,99.27,98.75,16.4,198.95,4.29,12.34,3.16,,5.6,22.9,18.0,2.5,41.0,10.0,189,,7.5,,,540,,,,,,,,,,,,,,0,,0.4,0.16,,,,,,,,2.0
100,,,,850,1545,2575,119,3282,797,697,989,1689,2255,481,1324,843,955,774,454,585,1040,,,,,,347,1451,,,,0.2,0.17,0.4,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,713,2899,3147,265,5404,1372,618,938,1876,1055,384,1791,1317,1660,821,320,713,1375,,10,,,,575,2406,0.03,0.24,,0.26,22.33,14.22,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,261,472,845,108,1536,293,264,360,618,460,108,443,410,367,235,133,233,364,,,,,,,,9.02,13.6,1.98,23.61,1.06,2.7,0.69,,0.6,0.7,5.4,0.4,10.9,82.0,24,193,2.2,30,0.61,85,121,8.9,7,0.8,,,,,,,,,15,0,0,0.03,0.02,0.068,0.047,0,0,,,,0.4
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,414,1732,,,,,,,,,3.7,6.5,20.8,0.3,50.2,18.5,325,,10.8,,,225,,,,,,,,,,,,,,0,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,114,479,,,,,,,,,0.7,0.8,6.4,0.5,13.4,78.2,370,,4.7,,,167,,,,,,,,,,,,,,0,,0.04,0.05,,,,,,,,0.1
19.0,,,,1629,4920,3080,349,5889,1939,798,1801,2632,1524,587,1319,2150,1352,1319,554,1042,1834,,235,,,,519,2170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,"STT: 78, Mã số: 3029","Water melon seeds whole, fried",Hạt dưa đỏ rang (Dưa hấu),1447,4468,2247,295,5324,1498,749,1447,2007,937,398,1096,1391,1096,1203,428,805,1447,,90,,,,551,2306,,,,,29.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,"Cashew, common, roasted with oil","Hạt Đậu Khô, Chiên Dầu",781,1607,1801,239,3796,1020,455,868,1388,1062,194,888,1062,1214,868,347,434,1280,,5,,,,,,,,,,41.1,8.6,5.5,,2.6,16.4,49.3,0.7,18.3,12.7,32,,3.9,,,411,,,,,,,,,,,,,,0,,0.36,0.34,,,,,,,,1.4
0.0,,"Milk flour, made from roasted soybeans",Sữa Bột Đậu Nành,,,,,,,,,,,,,,,,,,,,,,,,405,1692,,,,,,,,,5.3,48.2,9.7,2.2,31.1,3.5,224,,7.5,,,320,,,,,,,,,,,,,,0,,0.4,0.16,,,,,,,,2.0
0.0,,,,137,196,348,23,539,152,69,162,230,162,42,162,230,172,152,42,108,176,,,,,,28,119,4.45,6.06,0.56,9.65,0.38,0.77,0.23,,0.4,0.4,1.6,0.1,3.1,94.4,18,141,1.2,25,0.22,36,124,4.8,55,0.44,,,,,,,,,16,0,0,0.05,0.02,0.518,0.096,0,0,0.4,1.35,3,0.3
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37,153,,,,,,,,,0.9,6.4,0.2,0.2,2.3,90.0,92,,0.3,,,150,,,,,,,,,,,,,,,,,,,,,,,,,
35.3,4001,"Calabash, Bottle gourd",Bầu,,,,,,,,,,,,,,,,,,,,10,,,,14,59,,,,,0.0,0.01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,"Asgourd Waxgoured, Winter melon",Bí Đao (Bí Xanh),,,,,,,,,,,,,,,,,,,,5,,,,12,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.3,,,,47,46,151,10,233,31,20,47,69,63,12,34,29,37,31,18,18,48,515,3100,2145,1500,0,27,111,,,,,0.01,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Eggplant, Brinja aubergine",Cà bật,32,81,115,9,198,31,18,36,58,43,13,36,29,49,23,15,47,41,,40,,,,23,94,,,,,0.02,0.08,0.03,,0.6,4.0,0.2,1.5,1.2,92.5,12,82,0.7,14,0.25,16,230,0.3,2,0.16,,,,,,,,,22,0,0,0.03,0.04,0.281,0.084,0,3,,0.3,3.5,0.5
5.0,4005,Tomato,Cà Chua,22,19,104,5,269,16,13,16,24,25,5,16,14,22,20,7,12,19,112,393,0,130,3.025,20,85,,,,,0.05,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Eggplant - small,Cà phao,32,81,115,9,198,31,18,36,58,43,13,36,29,49,23,15,47,41,,20,,,,20,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.5,4007,Carrots,"Cà rốt (Củ đỏ, Vàng)",48,44,117,10,194,29,14,30,44,39,12,27,28,32,29,7,22,44,3477,8285,125,256,1,39,164,,,,,0.01,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,810,,,,292,1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95.0,,Aubergine,Cà Tím,,,,,,,,,,,,,,,,,,,,10,,,,22,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,86,141,111,19,148,81,43,52,90,53,18,51,62,70,64,18,31,72,0,65,0,310,0,29,123,,,,,0.01,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,96,158,124,21,165,90,48,59,101,59,20,57,69,78,71,20,35,80,0,670,0,329,20,45,190,,,,,0.02,0.13,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,245,1026,,,,,,,,,10.7,39.7,1.6,14.0,18.0,16.0,300,,7.5,,,106,,,,,,,,,,,,,,0,,0.15,0.52,,,,2,0.0,,,0.5
25.0,,Chrysanthemum crown-daisy,Cải Cúc,,,,,,,,,,,,,,,,,,,,1115,,,,14,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,137,150,187,7,190,112,40,93,166,134,20,114,96,60,133,30,63,137,0,2820,0,5767,0,15,61,,,,,0.01,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,,,,86,84,108,17,360,43,26,85,88,89,9,44,31,48,49,15,29,66,1,2681,0,40,0,17,71,,,,,0.02,0.1,0.03,,1.0,2.4,0.2,1.8,1.4,93.2,50,90,0.7,25,0.5,30,200,0.5,25,0.75,,,,,,,,1.18,66,0,0,0.09,0.07,0.088,0.194,0,26,,0.09,35.8,0.4
24.0,,"Mustard greens, India, leaves and stems",Cải xanh,,197,,40,,,48,98,83,123,25,72,,,72,30,143,105,0,6300,0,9900,0,16,68,,,,,0.09,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,STT: 99,Water drop-wort; Celery water,Cần Ta,,,,,,,,,,,,,,,,,,,,2045,,,,10,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,"Celery, Chinese",Cần Tây,23,20,117,4,90,21,12,21,32,27,5,20,18,20,20,9,9,27,0,150,0,232,0,48,201,,,,,0.03,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,,,,,,,,,,,,,,,,,,39,184,0,0,0,,,,,,,0.03,0.24,0.05,,0.8,16.4,0.5,1.0,1.2,80.2,26,94,0.4,17,0.1,27,256,0.3,13,0.25,,,,,,,,1.95,29,0,0,0.05,0.02,0.265,0.357,0,31,,0.69,9.5,0.6
100.0,,,,23,51,48,7,160,18,13,26,35,27,7,27,17,17,23,3,12,37,,16,,,,48,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Radish garden while raw,Củ cải trắng,23,51,48,7,160,18,13,26,35,27,7,27,17,17,23,3,12,37,0,0,0,0,0,,,,,,,0.02,0.05,0.03,,1.2,3.6,0.1,1.5,1.5,92.1,40,150,1.1,15,0.05,41,242,3.9,10,0.2,,,,,,,,2.5,28,0,0,0.06,0.06,0.138,0.046,0,30,,0,0.3,0.5
100.0,,,,248,456,538,,1492,248,149,344,413,393,75,262,202,240,326,43,150,365,0,0,0,0,0,220,918,,,,,0.12,0.33,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,28,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,30,124,,,,,,,,,0.6,5.4,,1.8,2.0,90.2,24,,1.4,,,92,,,,,,,,,,,,,,0,,,,,,,2,,,,
4.0,,"Horse radish; dish - tree, drumstick leaf",Dóc Củ Cải (NON),,,,,,,,,,,,,,,,,,,,1090,,,,14,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,Colocasia indica,Độc mùng,,,,,,,,,,,,,,,,,,,,,,,,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Cucumber,Dưa chuột,23,39,46,6,123,25,9,18,26,23,5,15,15,24,18,4,18,24,0,138,0,0,0,16,66,,,,,0.0,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,,Large cucumber,Dưa Gang,,,,,,,,,,,,,,,,,,,,130,,,,11,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,106,102,288,20,257,91,56,90,166,132,31,102,91,128,93,33,80,118,,180,,,,73,306,,,,,,,,,0.7,13.3,,1.0,5.0,80.0,26,90,0.7,26,0.5,122,254,,96,0.01,,,,,,,,,,0,,0.34,0.19,,,,25,,,,2.6
100.0,,,,,196,,42,,,90,150,200,184,40,154,,,104,32,115,162,,250,,,,,,,,,,0.04,0.17,0.11,,0.7,7.9,0.4,2.0,6.0,83.0,47,48,1.6,36,0.21,16,194,1.5,5,0.37,,,,,,,,,62,0,0,0.29,0.18,0.055,0.024,0,22,,,,1.8
100,"STT: 113, Mã số: 4031",Green peas; field pea; Peas garden,Đậu Hà Lan,301,587,665,64,976,264,143,279,466,489,62,295,257,301,252,68,208,317,19,485,,,,,,,,,,0.04,0.19,0.07,,0.5,10.6,0.4,1.0,6.5,81.0,,,,,,,,,,,,0.39,0,0.12,0,0.17,4.99,5.67,65,0,0,0.4,0.15,0.104,0.169,0,27,,0.13,24.8,2.2
5.0,,,,,,,,,,,,,,,,,,,,,,,270,,,,34,141,,,,,,,,,0.6,6.3,0.1,1.6,1.9,89.5,63,,1.3,,,60,,,,,,,,,,,,,,0,,0.06,0.12,,,,22,,,,0.5
25.0,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,0.5,4.6,,2.0,0.8,92.1,63,101,0.9,56,,50,215,,7,,,,,,,,,,,0,,0.02,0.03,,,,40,,,,0.3
80.0,,,,,,,,,,,,,,,,,,,,,,2718,21756,0,0,49.667,122,508,,,,,1.76,1.55,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,Sprout of soybeans,Giá Đậu Tương,377,460,1452,79,925,356,164,452,670,392,116,391,323,453,317,79,276,423,,25,,,,79,331,19.12,21.6,,40.71,1.52,3.78,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,"Mungobean sprouts, Green gram, Tiensin green bean",Giá Đậu Xanh,259,366,1062,43,656,211,132,316,463,274,87,271,272,273,225,60,192,324,6,6,6,0,0,44,185,,,,,0.02,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,86,137,176,,393,94,33,81,113,95,21,61,126,86,74,21,55,84,,15,,,,,,,,,,0.06,0.16,0.07,,0.7,4.4,0.4,0.7,1.3,92.5,32,70,1.1,23,0.14,49,212,0.6,17,0.52,,,,,,,,,16,0,0,0.03,0.04,0.169,0.072,0,10,,,,0.2
20.0,,"Onion, Welsh",Hành lá (Hành hoá),,,,,,,,,,,,,,,,,,,,1370,,,,22,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,,,,58,160,70,19,220,41,14,23,44,60,16,41,30,27,22,20,30,25,0,1,0,0,0,,,,,,,0.02,0.06,0.03,,0.8,8.2,0.1,1.1,1.8,88.0,38,70,0.8,23,0.2,58,221,1.5,8,1.43,,1.16,0,1.95,0.01,0,1.16,4.28,19,0,0,0.03,0.04,0.122,0.147,0,10,0.0,0.02,0.4,0.2
39.0,STT: 122,"Lotus seed, raw",Hạt Sen Tươi,239,338,505,54,957,221,115,205,326,264,72,206,344,252,200,59,100,266,,10,,,,161,672,,,,,0.1,0.31,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,892,1262,1884,201,3570,826,430,765,1215,985,267,767,1285,939,747,221,375,991,,30,,,,334,1396,,,,,0.39,1.17,0.33,,3.4,58.0,2.4,2.2,20.0,14.0,89,350,6.4,210,2.32,285,1368,,5,1.05,,,,,,,,,104,0,0,0.64,0.15,0.851,0.629,0,0,,,,1.6
100,,,,74,78,140,25,226,69,25,52,96,78,18,55,66,92,63,12,41,56,0,1000,0,1900,0,,,,,,,0.0,0.17,0.04,,0.6,1.5,0.3,0.9,2.2,94.5,56,100,1.3,18,0.3,45,234,1,6,0.2,,,,,,,,,64,0,0,0.03,0.09,0.14,0.233,0,19,0.0,0.92,47,0.9
29.0,,,,,,,,,,,,,,,,,,,,,,,170,,,,20,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,,"Daylily, lemon flowers, Pergularia, raw",Hoa Lỳ,,,,,,,,,,,,,,,,,,,,585,,,,23,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,STT: 127,Carambola; Star fruit,Khế,71,21,98,,148,50,8,44,77,77,21,37,50,83,44,8,44,50,24,25,0,64,0,16,69,,,,,0.03,0.18,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,4050,,,,39,162,,,,,,,,,1.3,5.4,,2.5,4.3,86.5,260,,4.1,98,,980,598,,15,,,,,,,,,,,0,,0.0,0.0,,,,34,,,,0.0
0.0,129,"Tamarind, leaves",Lá Me,,,,,,,,,,,,,,,,,,,,,,,,46,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,Wild plant,Lá Mơ Lông,,,,,,,,,,,,,,,,,,,,330,,,,27,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,350,,76,,,150,390,710,340,140,420,,,300,110,227,460,,8280,,,,78,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,0.3,1.4,,4.1,1.4,92.8,18,190,0.9,88,,29,486,,9,1.1,,,,,,,,,,0,,0.11,0.09,,,,9,,,,0.6
100.0,,,,,,,,,,,,,,,,,,,,,,,20,,,,157,656,,,,,,,,,4.4,21.5,2.1,36.0,13.0,23.0,100,,5.0,,,200,,,,,,,,,,,,,,0,,0.11,0.14,,,,1,,,,1.3
50.0,,,,107,107,265,27,374,74,35,84,99,108,22,54,121,87,64,22,36,88,9,449,0,710,0,14,59,,,,,0.01,0.09,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,,,124,97,425,22,248,87,42,88,140,134,30,90,219,127,86,27,,106,,12,,,,,,,,,,0.01,0.13,0.07,,0.5,1.4,0.3,4.1,1.7,92.0,22,190,1.0,3,0.26,58,533,0.8,4,1.1,,,,,,,,3.0,7,0,0,0.08,0.08,0.161,0.24,0,1,,1,0,0.6
18.8,,,,,,,,,,,,,,,,,,,,,,,160,,,,17,69,,,,,0.04,0.09,0.02,,0.5,2.8,0.2,0.5,0.9,95.1,28,35,0.8,14,0.09,45,139,0.2,3,0.07,,,,,,,,,7,0,0,0.04,0.06,0.218,0.043,0,8,,,,0.5
20.0,,,,,,,,,,,,,,,,,,,,,,185,190,0,170,0,16,69,,,,,,,,,0.6,2.8,0.2,1.1,0.9,94.4,18,34,0.6,17,0.09,29,296,0.2,5,0.8,,,,,,,,,72,0,0,0.07,0.04,0.212,0.043,0,22,,,,0.3
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.8,0.0,1.4,0.8,95.4,30,,0.3,,,22,,,,,,,,,,,,,,0,,,,,,,,,,,
31.0,,"Mugwort, common sagebrush",Ngải Cứu,,,,,,,,,,,,,,,,,,,,,,,,25,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40,168,,,,,,,,,0.6,7.4,0.2,0.4,2.2,89.2,5,,0.9,,,52,,,,,,,,,,,,,,0,,0.09,0.2,,,,34,,,,0.7
11.0,STT: 141,"Lotus, stem underground",Ngó Sen,54,88,369,22,139,156,38,54,69,94,22,47,136,60,51,20,29,55,,10,,,,61,253,,,,,0.02,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,2.5,,1.5,4.9,90.0,140,,1.2,,,80,,,,,,,,,,,,,,0,,,,,,,,,,,
18.0,,"Chili pepper, peppers red",Ốt Đỏ,40,48,142,19,130,37,20,32,43,43,12,30,43,40,37,12,20,41,20,1624,490,51,308,23,95,,,,,0.01,0.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,41,48,143,19,132,37,20,32,52,44,12,31,44,40,37,13,21,42,,120,,,,,,,,,,,,0.03,,0.6,5.5,0.2,1.4,1.3,91.0,86,140,3.6,12,1.1,120,275,0.3,15,0.32,,,,,,,,,26,0,0,0.37,0.51,0.168,0.168,0,250,,,,2.5
100.0,,,,55,21,139,23,178,42,13,42,49,65,17,43,48,39,41,8,24,26,22,198,,,,,,,,,,0.01,0.06,0.06,,0.5,4.5,0.2,1.5,1.3,92.0,6,66,0.8,10,0.12,25,175,0,3,0.13,,1.12,0,1.16,0,0,0.11,2.4,11,0,0,0.04,0.05,0.099,0.224,0,103,,,,0.9
36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19,79,,,,,,,,,0.3,3.9,0.0,,0.8,95.0,21,,,,,5,,,,,,,,,,,,,,0,,,,,,,,,,,
15.0,,,,,,,,,,,,,,,,,,,,,,,10,,,,27,112,,,,,,,,,1.0,4.8,,2.0,1.9,90.3,130,,0.4,,,46,,,,,,,,,,,,,,0,,0.15,0.05,,,,12,,,,0.4
23.4,,Pumpkin leaves,RAU BÍ,,217,,32,,,50,156,318,200,54,171,,,156,41,156,181,,1940,,,,18,74,,,,,0.05,0.02,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,198,828,,,,,0.03,0.1,0.06,,11.1,35.8,1.1,20.8,11.2,20.0,378,610,8.8,770,4.3,124,1125,7.4,102,5.8,,,,,,,,2.97,580,0,0,0.01,0.22,3.018,0.303,0,0,,5,24.4,0.2
4.0,,Seaweed fresh,Rau Câu Tươi,,,,,,,,,,,,,,,,,,,,,,,,25,104,,,,,0.0,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,STT: 151,Lettuce garden,RAU DIẾP,56,71,142,16,182,57,22,84,79,84,16,55,48,39,59,9,32,70,0,4443,0,1730,0,14,57,,,,,0.01,0.08,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,"STT: 152, Mã số: 4070",Jute potherb,Rau Đay,256,248,567,40,493,214,110,221,388,219,65,212,246,182,164,30,147,248,,,,,,25,106,,,,,0.02,0.12,0.04,,1.1,3.0,0.3,1.5,2.8,91.4,182,255,7.7,79,0.12,57,417,0.9,16,0.79,,,,,,,,,123,0,0,0.13,0.26,0.072,0.6,0,77,,,,1.1
0.0,,Wild plant,"RAU GIẤP CÁ, DIẾP CÁ",,,,,,,,,,,,,,,,,,,,620,,,,22,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,,,,139,121,229,29,292,132,52,119,195,127,36,133,121,111,99,31,80,137,,5300,,,,21,87,,,,,0.08,0.15,0.09,,1.6,1.1,0.3,1.6,3.4,92.0,341,162,4.1,55,0.89,76,611,0.9,20,0.9,,,,,,,,,85,0,0,0.36,1.3,0.064,0.192,0,63,,,1140,1.3
38.0,,,,,,,,,,,,,,,,,,,,,,,4080,,,,41,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,,,,,100,,,,,40,100,170,110,40,120,,,100,,,120,,2855,,,,42,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,,"Basil sweet leaves, raw",RAU HÚNG,132,117,301,28,277,122,51,104,191,110,36,130,104,99,104,39,77,127,0,3142,46,5650,0,20,85,,,,,0.09,0.39,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
